name,date,pop,n_leq5,total_cases,zips,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,school_opening_status
Pelican Rapids Public School District,2020-08-20,52930,2,317,"56501, 56514, 56528, 56533, 56534, 56537, 56549, 56554, 56572, 56579, 56587",288,29,37,5.478934441715474,6.990364632533535,9.242814010841585,3.4848057770671406,All In-Person
Pequot Lakes Public Schools,2020-08-20,21251,1,87,"56441, 56442, 56447, 56456, 56468, 56472, 56474",72,15,19,7.05849136511223,8.940755729142158,12.961009801580971,3.4864018829389027,All In-Person
Perham-Dent Public School District,2020-08-20,23440,4,50,"56464, 56528, 56544, 56567, 56571, 56573, 56576, 56587",40,10,26,4.266211604095563,11.092150170648464,15.355835429454718,1.6219862568557921,All In-Person
Pierz Public School District,2020-08-20,35590,1,149,"56329, 56338, 56345, 56364, 56367, 56373",128,21,25,5.900533857825232,7.024445068839562,9.77802753582467,3.3768338403727323,All In-Person
Pillager Public School District,2020-08-20,44690,2,202,"56401, 56443, 56466, 56468, 56472, 56473",171,31,39,6.936674871335869,8.726784515551577,11.465696146086566,4.4947822440933445,All In-Person
Pine City Public School District,2020-08-20,27491,3,86,"55007, 55030, 55036, 55037, 55051, 55063, 55069",67,19,31,6.911352806372995,11.276417736713835,15.24601438694367,3.803629577192637,All In-Person
Pine Island Public School District,2020-08-20,76660,1,962,"55901, 55920, 55956, 55960, 55963, 55985, 55992",865,97,101,12.653274197756325,13.175058700756587,15.744554685285278,10.13517332487342,Elem In-Person / HS Hybrid
Pine Point Public School District,2020-08-20,560,0,0,56575,0,0,0,0,0,0,0,All In-Person
Pine River-Backus Public School District,2020-08-20,30810,5,98,"56435, 56442, 56447, 56448, 56452, 56466, 56472, 56474, 56477, 56479, 56481, 56655",83,15,35,4.868549172346641,11.359948068808828,15.123504178797546,2.4047233500270893,All In-Person
Pipestone Area School District,2020-08-20,18184,4,262,"56116, 56128, 56134, 56139, 56140, 56144, 56149, 56151, 56156, 56164, 56170, 56177, 56186",225,37,53,20.347558293004838,29.146502419709638,36.9935192383358,13.79112705709167,All Hybrid
Plainview-Elgin-Millville,2020-08-20,45660,3,307,"55041, 55906, 55910, 55929, 55932, 55934, 55945, 55957, 55964, 55972, 55991",271,36,48,7.884362680683311,10.512483574244415,13.486482332750766,5.3088042049934305,All In-Person
Princeton Public School District,2020-08-20,87680,2,461,"55008, 55017, 55308, 55309, 55319, 55371, 55398, 56353, 56357",377,84,92,9.58029197080292,10.492700729927009,12.636822487612438,7.5315126911237575,All In-Person
Prinsburg Public School District,2020-08-20,4030,0,39,"56281, 56282, 56284",22,17,17,42.183622828784124,42.183622828784124,62.236444233773234,22.130801423795003,Elem Hybrid / HS Distance
Prior Lake-Savage Area Schools,2020-08-20,166840,0,2080,"55044, 55352, 55372, 55378, 55379",1710,370,370,22.176935986573962,22.176935986573962,24.43666703193933,19.917204941208595,All Hybrid
Proctor Public School District,2020-08-20,78270,0,406,"55720, 55779, 55803, 55807, 55808, 55810, 55811",249,157,157,20.058770921170307,20.058770921170307,23.19646475135271,16.921077090987904,All Hybrid
Randolph Public School District,2020-08-20,65820,2,467,"55009, 55018, 55024, 55031, 55057, 55065",397,70,78,10.635065329687025,11.850501367365542,14.4804392734735,8.143643798227306,Elem In-Person / HS Hybrid
