ZIPCODE,CASES,DATE
55768,<=5,8/6/2020
55769,11,8/6/2020
55771,<=5,8/6/2020
55772,0,8/6/2020
55775,7,8/6/2020
55779,10,8/6/2020
55780,<=5,8/6/2020
55781,<=5,8/6/2020
55782,<=5,8/6/2020
55783,10,8/6/2020
55784,0,8/6/2020
55785,<=5,8/6/2020
55786,9,8/6/2020
55787,0,8/6/2020
55790,<=5,8/6/2020
55792,6,8/6/2020
55793,<=5,8/6/2020
55795,77,8/6/2020
55797,<=5,8/6/2020
55798,<=5,8/6/2020
55802,12,8/6/2020
55803,50,8/6/2020
55804,36,8/6/2020
55805,69,8/6/2020
55806,25,8/6/2020
55807,25,8/6/2020
55808,32,8/6/2020
55810,17,8/6/2020
55811,79,8/6/2020
55812,26,8/6/2020
55814,0,8/6/2020
55901,737,8/6/2020
55902,138,8/6/2020
55904,487,8/6/2020
55905,<=5,8/6/2020
55906,162,8/6/2020
55909,9,8/6/2020
55910,0,8/6/2020
55912,1021,8/6/2020
55917,14,8/6/2020
55918,<=5,8/6/2020
55919,<=5,8/6/2020
55920,42,8/6/2020
55921,<=5,8/6/2020
55922,0,8/6/2020
55923,11,8/6/2020
55924,11,8/6/2020
55925,<=5,8/6/2020
55926,<=5,8/6/2020
55927,26,8/6/2020
55929,6,8/6/2020
55931,<=5,8/6/2020
55932,8,8/6/2020
55933,<=5,8/6/2020
55934,13,8/6/2020
55935,0,8/6/2020
55936,9,8/6/2020
55939,8,8/6/2020
55940,17,8/6/2020
55941,<=5,8/6/2020
55943,<=5,8/6/2020
55944,51,8/6/2020
55945,12,8/6/2020
55946,24,8/6/2020
55947,29,8/6/2020
55949,<=5,8/6/2020
55950,<=5,8/6/2020
55951,<=5,8/6/2020
55952,10,8/6/2020
55953,16,8/6/2020
55954,<=5,8/6/2020
55955,17,8/6/2020
55956,<=5,8/6/2020
55957,<=5,8/6/2020
55959,<=5,8/6/2020
55960,31,8/6/2020
55961,<=5,8/6/2020
55962,0,8/6/2020
55963,25,8/6/2020
55964,37,8/6/2020
55965,7,8/6/2020
55967,10,8/6/2020
55968,0,8/6/2020
55969,<=5,8/6/2020
55970,<=5,8/6/2020
55971,9,8/6/2020
55972,13,8/6/2020
55973,<=5,8/6/2020
55974,<=5,8/6/2020
55975,27,8/6/2020
55976,49,8/6/2020
55977,0,8/6/2020
55979,<=5,8/6/2020
55981,11,8/6/2020
55982,<=5,8/6/2020
55983,8,8/6/2020
55985,7,8/6/2020
55987,210,8/6/2020
55990,<=5,8/6/2020
55991,<=5,8/6/2020
55992,21,8/6/2020
56001,754,8/6/2020
56003,221,8/6/2020
56007,308,8/6/2020
56009,11,8/6/2020
56010,<=5,8/6/2020
56011,47,8/6/2020
56013,34,8/6/2020
56014,<=5,8/6/2020
56016,15,8/6/2020
56017,<=5,8/6/2020
56019,<=5,8/6/2020
56020,0,8/6/2020
56021,<=5,8/6/2020
56022,<=5,8/6/2020
56023,<=5,8/6/2020
56024,17,8/6/2020
56025,<=5,8/6/2020
56026,7,8/6/2020
56027,10,8/6/2020
56028,9,8/6/2020
56029,<=5,8/6/2020
56031,149,8/6/2020
56032,0,8/6/2020
56033,<=5,8/6/2020
56034,<=5,8/6/2020
56035,<=5,8/6/2020
56036,8,8/6/2020
56037,8,8/6/2020
56039,<=5,8/6/2020
56041,<=5,8/6/2020
56042,0,8/6/2020
56043,<=5,8/6/2020
56044,8,8/6/2020
56045,<=5,8/6/2020
56046,<=5,8/6/2020
56047,0,8/6/2020
56048,42,8/6/2020
56050,19,8/6/2020
56051,<=5,8/6/2020
